state_sigla,city,localizador,latitud,longitud
SP,buritizal,"buritizal SP, Brazil",-20.1933264,-47.7097165
SP,guara,"guara SP, Brazil",-20.4290496,-47.8250067
SP,pioneiros,"pioneiros SP, Brazil",-20.53332205,-47.76089755400956
SP,sao joaquim da barra,"sao joaquim da barra SP, Brazil",-20.5814993,-47.8608238
SP,ipua,"ipua SP, Brazil",-20.4441839,-48.012504
SP,orlandia,"orlandia SP, Brazil",-20.720278,-47.886667
SP,morro agudo,"morro agudo SP, Brazil",-20.7276692,-48.052795
SP,sales oliveira,"sales oliveira SP, Brazil",-20.769612,-47.836873
SP,nuporanga,"nuporanga SP, Brazil",-20.730877,-47.7522561
SP,jardinopolis,"jardinopolis SP, Brazil",-21.0255126,-47.7706807
SP,juruce,"juruce SP, Brazil",-21.07228735,-47.7250642525
SP,bebedouro,"bebedouro SP, Brazil",-20.949077,-48.479083
SP,taiuva,"taiuva SP, Brazil",-21.1238184,-48.4512476
SP,taiacu,"taiacu SP, Brazil",-21.143144,-48.511203
SP,monte azul paulista,"monte azul paulista SP, Brazil",-20.90649,-48.638717
SP,severinia,"severinia SP, Brazil",-20.810753,-48.80538
SP,viradouro,"viradouro SP, Brazil",-20.8726051,-48.2968122
SP,terra roxa,"terra roxa SP, Brazil",-20.787015,-48.331442
SP,pitangueiras,"pitangueiras SP, Brazil",-21.013203,-48.220951
SP,ibitiuva,"ibitiuva SP, Brazil",-20.9991677,-48.3287237
SP,taquaral,"taquaral SP, Brazil",-21.07373,-48.412553
SP,colina,"colina SP, Brazil",-20.711443,-48.53867
SP,jaborandi,"jaborandi SP, Brazil",-20.6921079,-48.4144076
SP,barretos,"barretos SP, Brazil",-20.5531437,-48.5697509
SP,guaira,"guaira SP, Brazil",-20.3245873,-48.3148818
SP,colombia,"colombia SP, Brazil",-20.1774291,-48.6872822
SP,araraquara,"araraquara SP, Brazil",-21.7886713,-48.1773096
SP,gaviao peixoto,"gaviao peixoto SP, Brazil",-21.8377536,-48.492853
SP,ibate,"ibate SP, Brazil",-21.9554092,-47.9989614
SP,americo brasiliense,"americo brasiliense SP, Brazil",-21.7297099,-48.1052092
SP,santa lucia,"santa lucia SP, Brazil",-21.6861811,-48.0836814
SP,rincao,"rincao SP, Brazil",-21.5881095,-48.0724258
SP,motuca,"motuca SP, Brazil",-21.5095864,-48.1503832
SP,guariba,"guariba SP, Brazil",-21.35938,-48.23158
SP,pradopolis,"pradopolis SP, Brazil",-21.3597815,-48.0746603
SP,barrinha,"barrinha SP, Brazil",-21.1898849,-48.1550642
SP,jaboticabal,"jaboticabal SP, Brazil",-21.252037,-48.325223
SP,itapolis,"itapolis SP, Brazil",-21.5958368,-48.8122696
SP,nova america,"nova america SP, Brazil",-21.50195935,-48.705055574999996
SP,tapinas,"tapinas SP, Brazil",-21.44790035,-48.79770433289053
SP,tabatinga,"tabatinga SP, Brazil",-21.7373768,-48.6880522
SP,curupa,"curupa SP, Brazil",-21.685792300000003,-48.55802907424243
SP,nova europa,"nova europa SP, Brazil",-21.7808203,-48.5661712
SP,boa esperanca do sul,"boa esperanca do sul SP, Brazil",-21.9930206,-48.3917372
SP,trabiju,"trabiju SP, Brazil",-22.0410733,-48.3350302
SP,ibitinga,"ibitinga SP, Brazil",-21.75623,-48.831903
SP,borborema,"borborema SP, Brazil",-21.6212706,-49.074135
SP,novo horizonte,"novo horizonte SP, Brazil",-21.4674564,-49.2235377
SP,sales,"sales SP, Brazil",-21.3418263,-49.4999228
SP,irapua,"irapua SP, Brazil",-21.2791964,-49.4101967
SP,sao jose do rio preto,"sao jose do rio preto SP, Brazil",-20.8125851,-49.3804212
SP,s jose do rio preto,"s jose do rio preto SP, Brazil",-20.8125851,-49.3804212
SP,sao jose do rio pret,"sao jose do rio pret SP, Brazil",,
SP,potirendaba,"potirendaba SP, Brazil",-21.0457369,-49.3767154
SP,ipigua,"ipigua SP, Brazil",-20.657282,-49.3881146
SP,guapiacu,"guapiacu SP, Brazil",-20.79663,-49.2253917
SP,bady bassitt,"bady bassitt SP, Brazil",-20.9178969,-49.4517911
SP,neves paulista,"neves paulista SP, Brazil",-20.842992,-49.635767
SP,mirassol,"mirassol SP, Brazil",-20.8141411,-49.507449
SP,balsamo,"balsamo SP, Brazil",-20.7343722,-49.5807484
SP,mirassolandia,"mirassolandia SP, Brazil",-20.6147204,-49.462817
SP,monte aprazivel,"monte aprazivel SP, Brazil",-20.7625702,-49.7088402
SP,engenheiro balduino,"engenheiro balduino SP, Brazil",-20.68181815,-49.701778547
SP,jaci,"jaci SP, Brazil",-20.8844434,-49.5710544
SP,poloni,"poloni SP, Brazil",-20.7836955,-49.8149752
SP,tanabi,"tanabi SP, Brazil",-20.6251635,-49.6519879
SP,sebastianopolis do sul,"sebastianopolis do sul SP, Brazil",-20.6581669,-49.9229043
SP,nhandeara,"nhandeara SP, Brazil",-20.6943324,-50.0406028
