localizador,longitud
"ribeirao branco SP, Brazil",-48.7678322
"nova campina SP, Brazil",-48.9054041
"itabera SP, Brazil",-49.1398926
"itarare SP, Brazil",-49.3352464
"riversul SP, Brazil",-49.4340558
"bom sucesso de itarare SP, Brazil",-49.1446207
"itaporanga SP, Brazil",-49.4895934
"barao de antonina SP, Brazil",-49.5632104
"laranjal paulista SP, Brazil",-47.8370125
"maristela SP, Brazil",-47.891045
"cerquilho SP, Brazil",-47.7433878
"tiete SP, Brazil",-47.7147937
"jumirim SP, Brazil",-47.7882279
"porto feliz SP, Brazil",-47.5240065
"boituva SP, Brazil",-47.6738231
"ipero SP, Brazil",-47.687611
"conchas SP, Brazil",-48.0077595
"pereiras SP, Brazil",-47.9746014
"bofete SP, Brazil",-48.2610535
"botucatu SP, Brazil",-48.4410712
"anhembi SP, Brazil",-48.1316776
"piramboia SP, Brazil",-48.218876416690264
"pardinho SP, Brazil",-48.3768158
"sao manuel SP, Brazil",-48.572316
"aparecida de sao manuel SP, Brazil",-48.647038025
"pratania SP, Brazil",-48.6656779
"areiopolis SP, Brazil",-48.6673653
"borebi SP, Brazil",-48.9714871
"lencois paulista SP, Brazil",-48.8031367
"alfredo guedes SP, Brazil",-48.72625751428571
"itatinga SP, Brazil",-48.6134874
"avare SP, Brazil",-48.9259103
"arandu SP, Brazil",-49.0545651
"paranapanema SP, Brazil",-48.720868
"holambra ii SP, Brazil",-48.8659225
