state_sigla,city,localizador,latitud
SP,sao jose do rio pret,"sao jose do rio pret SP, Brazil",
SP,potirendaba,"potirendaba SP, Brazil",-21.0457369
SP,ipigua,"ipigua SP, Brazil",-20.657282
SP,guapiacu,"guapiacu SP, Brazil",-20.79663
SP,bady bassitt,"bady bassitt SP, Brazil",-20.9178969
SP,neves paulista,"neves paulista SP, Brazil",-20.842992
SP,mirassol,"mirassol SP, Brazil",-20.8141411
SP,balsamo,"balsamo SP, Brazil",-20.7343722
SP,mirassolandia,"mirassolandia SP, Brazil",-20.6147204
SP,monte aprazivel,"monte aprazivel SP, Brazil",-20.7625702
SP,engenheiro balduino,"engenheiro balduino SP, Brazil",-20.68181815
SP,jaci,"jaci SP, Brazil",-20.8844434
SP,poloni,"poloni SP, Brazil",-20.7836955
SP,tanabi,"tanabi SP, Brazil",-20.6251635
SP,sebastianopolis do sul,"sebastianopolis do sul SP, Brazil",-20.6581669
SP,nhandeara,"nhandeara SP, Brazil",-20.6943324
SP,jose bonifacio,"jose bonifacio SP, Brazil",-23.5641145
SP,nova alianca,"nova alianca SP, Brazil",-21.0163728
SP,nova itapirema,"nova itapirema SP, Brazil",-21.1015
SP,mendonca,"mendonca SP, Brazil",-21.1838813
SP,ubarana,"ubarana SP, Brazil",-21.1637674
SP,adolfo,"adolfo SP, Brazil",-21.2356597
SP,nipoa,"nipoa SP, Brazil",-20.9126469
SP,uniao paulista,"uniao paulista SP, Brazil",-20.8878168
SP,planalto,"planalto SP, Brazil",-21.0342185
SP,zacarias,"zacarias SP, Brazil",-21.0523649
SP,macaubal,"macaubal SP, Brazil",-20.8071616
SP,moncoes,"moncoes SP, Brazil",-20.850949
SP,turiuba,"turiuba SP, Brazil",-20.9491284
SP,lourdes,"lourdes SP, Brazil",-20.9672545
SP,buritama,"buritama SP, Brazil",-21.0664017
SP,general salgado,"general salgado SP, Brazil",-20.6488139
SP,magda,"magda SP, Brazil",-20.6444651
SP,nova castilho,"nova castilho SP, Brazil",-20.7638386
SP,sao joao de iracema,"sao joao de iracema SP, Brazil",-20.5134345
SP,floreal,"floreal SP, Brazil",-20.6767063
SP,gastao vidigal,"gastao vidigal SP, Brazil",-20.7956829
SP,nova luzitania,"nova luzitania SP, Brazil",-20.8558333
SP,auriflama,"auriflama SP, Brazil",-20.6840418
SP,guzolandia,"guzolandia SP, Brazil",-20.6491637
SP,sud mennucci,"sud mennucci SP, Brazil",-20.6906175
SP,bandeirantes d'oeste,"bandeirantes d'oeste SP, Brazil",-20.6012701
SP,pereira barreto,"pereira barreto SP, Brazil",-20.6378509
SP,suzanapolis,"suzanapolis SP, Brazil",-20.5011185
SP,ilha solteira,"ilha solteira SP, Brazil",-20.4281001
SP,itapura,"itapura SP, Brazil",-20.6435211
SP,olimpia,"olimpia SP, Brazil",-20.736634
SP,baguacu,"baguacu SP, Brazil",-20.7072589
SP,cajobi,"cajobi SP, Brazil",-20.8776238
SP,monte verde paulista,"monte verde paulista SP, Brazil",-20.8553157
SP,guaraci,"guaraci SP, Brazil",-20.4976771
SP,embauba,"embauba SP, Brazil",-20.9819513
SP,altair,"altair SP, Brazil",-20.5238955
SP,nova granada,"nova granada SP, Brazil",-20.5345426
SP,onda verde,"onda verde SP, Brazil",-20.6071428
SP,icem,"icem SP, Brazil",-20.3413103
