zip_code_prefix,region_name,id_state,state_sigla,state_name,city,localizador,latitud,longitud
13375,Sudeste,35,SP,São Paulo,mombuca,"mombuca SP, Brazil",-22.9293093,-47.5650724
13381,Sudeste,35,SP,São Paulo,nova odessa,"nova odessa SP, Brazil",-22.7805746,-47.2993805
13390,Sudeste,35,SP,São Paulo,rio das pedras,"rio das pedras SP, Brazil",-22.8441256,-47.6065667
13400,Sudeste,35,SP,São Paulo,piracicaba,"piracicaba SP, Brazil",-22.725165,-47.6493269
13440,Sudeste,35,SP,São Paulo,saltinho,"saltinho SP, Brazil",-22.8446614,-47.675489
13450,Sudeste,35,SP,São Paulo,santa barbara d oeste,"santa barbara d oeste SP, Brazil",-22.7542539,-47.4137884
13465,Sudeste,35,SP,São Paulo,americana,"americana SP, Brazil",-22.7392463,-47.3306032
13480,Sudeste,35,SP,São Paulo,limeira,"limeira SP, Brazil",-22.5615068,-47.401766
13490,Sudeste,35,SP,São Paulo,cordeiropolis,"cordeiropolis SP, Brazil",-22.4768324,-47.4550551
13495,Sudeste,35,SP,São Paulo,iracemapolis,"iracemapolis SP, Brazil",-22.5869091,-47.5160966
13500,Sudeste,35,SP,São Paulo,rio claro,"rio claro SP, Brazil",-22.4100108,-47.5603933
13508,Sudeste,35,SP,São Paulo,ajapi,"ajapi SP, Brazil",-22.26941785,-47.530489968413725
13510,Sudeste,35,SP,São Paulo,santa gertrudes,"santa gertrudes SP, Brazil",-22.4590897,-47.532034
13515,Sudeste,35,SP,São Paulo,charqueada,"charqueada SP, Brazil",-22.50958,-47.775468
13520,Sudeste,35,SP,São Paulo,sao pedro,"sao pedro SP, Brazil",-22.5512765,-47.9072359
13525,Sudeste,35,SP,São Paulo,aguas de sao pedro,"aguas de sao pedro SP, Brazil",-22.6000681,-47.8750887
13530,Sudeste,35,SP,São Paulo,itirapina,"itirapina SP, Brazil",-22.2536514,-47.8212546
13537,Sudeste,35,SP,São Paulo,ipeuna,"ipeuna SP, Brazil",-22.4356582,-47.7146714
13540,Sudeste,35,SP,São Paulo,corumbatai,"corumbatai SP, Brazil",-22.2210521,-47.6249638
13550,Sudeste,35,SP,São Paulo,analandia,"analandia SP, Brazil",-22.128917,-47.661939
13560,Sudeste,35,SP,São Paulo,sao carlos,"sao carlos SP, Brazil",-22.0180395,-47.891154
13578,Sudeste,35,SP,São Paulo,agua vermelha,"agua vermelha SP, Brazil",-21.89851185,-47.85035719090676
13579,Sudeste,35,SP,São Paulo,santa eudóxia,"santa eudóxia SP, Brazil",-21.73366905,-47.8515182775
13580,Sudeste,35,SP,São Paulo,ribeirao bonito,"ribeirao bonito SP, Brazil",-22.0692867,-48.1781765
13590,Sudeste,35,SP,São Paulo,dourado,"dourado SP, Brazil",-22.1124638,-48.3151079
13600,Sudeste,35,SP,São Paulo,araras,"araras SP, Brazil",-22.3569477,-47.3838889
13610,Sudeste,35,SP,São Paulo,leme,"leme SP, Brazil",-22.1859721,-47.389764
13625,Sudeste,35,SP,São Paulo,santa cruz da conceicao,"santa cruz da conceicao SP, Brazil",-22.1378975,-47.4555647
13630,Sudeste,35,SP,São Paulo,pirassununga,"pirassununga SP, Brazil",-21.9980468,-47.4280861
13650,Sudeste,35,SP,São Paulo,santa cruz das palmeiras,"santa cruz das palmeiras SP, Brazil",-21.823475,-47.248023
13660,Sudeste,35,SP,São Paulo,porto ferreira,"porto ferreira SP, Brazil",-21.8529134,-47.4794943
13670,Sudeste,35,SP,São Paulo,santa rita do passa quatro,"santa rita do passa quatro SP, Brazil",-21.7103738,-47.4777943
13690,Sudeste,35,SP,São Paulo,descalvado,"descalvado SP, Brazil",-21.9090404,-47.6203241
13700,Sudeste,35,SP,São Paulo,casa branca,"casa branca SP, Brazil",-21.7743137,-47.0852175
13705,Sudeste,35,SP,São Paulo,lagoa branca,"lagoa branca SP, Brazil",-21.92722645,-47.047453507499995
13707,Sudeste,35,SP,São Paulo,venda branca,"venda branca SP, Brazil",-21.936848750000003,-47.13194621359218
13710,Sudeste,35,SP,São Paulo,tambau,"tambau SP, Brazil",-21.70292,-47.270344
13715,Sudeste,35,SP,São Paulo,itobi,"itobi SP, Brazil",-21.730853,-46.9743
13720,Sudeste,35,SP,São Paulo,sao jose do rio pardo,"sao jose do rio pardo SP, Brazil",-21.595288,-46.887303
13730,Sudeste,35,SP,São Paulo,mococa,"mococa SP, Brazil",-21.464731,-47.002405
13750,Sudeste,35,SP,São Paulo,igarai,"igarai SP, Brazil",-21.41411065,-46.833917075
13755,Sudeste,35,SP,São Paulo,sao benedito das areias,"sao benedito das areias SP, Brazil",-21.33067455,-47.072956127001305
